,Categories,Currency,Favorites Number,Id,Is Digital,Is Private,Is Supply,Number of Views,Price,Processing Days Max,Processing Days Min,Quantity,Style,Tags,Title
29,"['Jewelry', 'Bracelet', 'Metalwork']",USD,42,194083057,False,False,false,385,14.95,5.0,3.0,4,,"['handmade jewelry', 'handmade bracelet', 'handmade bangle', 'handcrafted jewelry', 'handcrafted bracelet', 'silver jewelry', 'Alcoholics Anonymous', 'AA', 'Serenity Prayer', 'addiction', 'drugs', 'suvivor', 'courage']",Rock Bottom is a Beautful Place to Start... Personalized Hand Made jewelry Bracelet
30,"['Jewelry', 'Bracelet', 'Metalwork']",USD,16,107072084,False,False,false,274,149.99,,,5,"['Modern', 'High Fashion']","['fingerprint heart', 'thumbprint heart', 'custom heart', 'custom fingerprint', 'personalized heart', 'fingerprint name', 'childs fingerprint', 'mothers jewelry', 'silver fingerprint', 'silver bracelet', 'name bracelet', 'name jewelry', 'sterling silver']",Custom Fingerprint Heart Bracelet Personalized Leather Sterling Silver
31,"['Jewelry', 'Bracelet', 'Metalwork']",USD,88,126631754,False,False,false,1065,11.80,3.0,1.0,2,"['Minimalist', 'Modern']","['bracelet', 'silver', 'silver bracelet', 'silver heart', 'wedding jewellery', 'bridal jewelry', 'gifts for her', 'cute jewelry', 'dot necklace', 'silver dot', 'dot', 'circle']",Silver bracelet with tiny dot bead pendant
32,"['Jewelry', 'Bracelet', 'Metalwork']",USD,1789,165791565,False,False,false,19843,54.00,3.0,1.0,4,"['Traditional', 'Minimalist']","['skinny bangles', 'stack bracelet', 'stack bangle', 'silver hammered', 'sterling hammered', 'sterling bracelet', 'hammered bangles', 'hammered bracelets', 'silver stack bangles', 'skinny silver bangle', 'thin silver bangles', 'silver bangles', 'sterling bangles']","Sterling Silver Bangle Bracelets - Pattern, Set of three"
33,"['Jewelry', 'Bracelet', 'Metalwork']",USD,19,158271833,False,False,false,219,159.00,5.0,3.0,1,,"['black pearl jewelry', 'bracelets jewelry', 'gifts from hawaii', 'hand crafted jewelry', 'handmade jewelry', 'hawaii jewelry', 'Hawaiian jewelry', 'jewelry designers', 'jewelry sets', 'pearl jewelry', 'silver jewelry', 'sterling jewelry', 'Tahitian bracelets']",Tahitian Pearl Infinity Bracelet in Hand Crafted Silver
34,"['Jewelry', 'Bracelet', 'Metalwork']",USD,8,127123404,False,False,false,105,6.00,1.0,1.0,1,"['Fashion statement', 'Spiritual Informal']","['Funky Chic Disco', 'Natural Beauty', 'Mother Aunt', 'Grandmother Sister', 'Niece Girlfriend', 'Colorful Myriad', 'Sweet Hearts', 'Girly Girl Classy', 'Boys Girls Kids', 'Spring Summer Hot', 'New Beach Sand', 'OOAK Customizing', 'Wrist Ankle Bracelet']","Sweet Gemstone  Sea Turtle, Wood, Colorful  Elastic Stretch Bracelet Purple"
35,"['Jewelry', 'Bracelet', 'Metalwork']",USD,197,79034728,False,False,false,3195,11.00,,,29,,"['lyrics', 'springsteen', 'hapy', 'run', 'athletic', 'marathon', 'race', 'travel', 'gym', 'gift', 'fitness', 'music lyrics', 'The Boss']",Born To Run.    Bruce Springsteen brought us this great quote.  Silver hand stamped bacelet
36,"['Jewelry', 'Bracelet', 'Metalwork']",USD,9,107777594,False,False,false,186,16.00,,,1,,"['jewelry', 'bracelet', 'metalwork', 'copper', 'coil', 'egyptian coil', 'spirals', 'rainbow patina', 'copper patina', 'antique copper', 'coiled bracelet', 'antique bracelet', 'patina bracelet']",Egyptian Coil Bracelet in Antique Copper
37,"['Jewelry', 'Bracelet', 'Metalwork']",USD,11,117393208,False,False,false,194,131.50,5.0,3.0,1,['High Fashion'],"['christmas', 'holiday', 'office gift', 'spoon', 'spoon art', 'chef', 'cook', 'bakery', 'anniversary', 'eco friendly', 'teen girl', 'birthday', 'vintage']","I Love Forking Cuff Bracelet Lot of 5, Silverware Jewelry"
38,"['Jewelry', 'Bracelet', 'Metalwork']",USD,325,58240835,False,False,false,4441,34.99,3.0,1.0,52,,"['metal', 'braille', 'braille jewelry', 'braille bracelet', 'inspirational', 'emc team']",Never Give Up Braille Bracelet
39,"['Jewelry', 'Bracelet', 'Metalwork']",USD,27,153533719,False,False,false,612,70.00,5.0,3.0,9,,"['silver', 'men', 'guy', 'dude', 'sport', 'cool', 'teens gift', 'holiday gift', 'him', 'cool gifts for men', 'Braided Leather', 'Magnet Clasp']","Cool Bracelet - Men&#39;s Silver, Braided and Magnet Clasp Leather Bracelet"
40,"['Jewelry', 'Bracelet', 'Metalwork']",USD,5,153814931,False,False,false,126,90.00,5.0,3.0,1,,"['silver', 'fine', 'sterling', 'copper', 'forged', 'rivets', 'bracelet', 'PMC', 'clay']",Fine Silver and Copper Forged Bangle
41,"['Jewelry', 'Bracelet', 'Metalwork']",USD,15,83271812,False,False,false,145,250.00,,,1,,"['sunrise jasper', 'large bracelet', 'handmade', 'original', 'silver bracelet', 'unique bracelet', 'cate jessen', 'catejessen jewelry', 'handmade bracelet', 'cate jensen', 'dark silver', 'red stone bracelet', 'green red bracelet']",sedona sunrise bracelet... green and red jasper sterling silver bracelet
